City,Street Address,Rate
Los Angeles,1501 N SERRANO AVE,1.0
Los Angeles,201 W 12TH ST,0.75
Los Angeles,801 E PICO BLVD,0.5
Los Angeles,600 WESTERN AVE,1.0
Los Angeles,1901 1ST ST,1.0
Los Angeles,1601 S CORINTH AVE,1.0
Los Angeles,1000 BRITTANIA ST,1.0
Los Angeles,800 32ND ST,1.0
Los Angeles,1100 36TH ST,1.0
Los Angeles,900 N LA CIENEGA BLVD,1.0
Los Angeles,3701 S MOUNTAIN VIEW AVE,1.0
Los Angeles,1701 SUNSET BLVD,1.0
Los Angeles,201 LAKE ST,1.0
Los Angeles,800 N VIA DE LA PAZ,1.0
Los Angeles,2200 OCEAN VIEW AVE,1.0
Los Angeles,751 E 12TH ST,0.5
Los Angeles,1001 S WESTWOOD BLVD,1.0
Los Angeles,200 WESTERN AVE,1.0
Los Angeles,800 W CESAR E CHAVEZ BLVD,0.5
Los Angeles,2700 GRIFFITH PARK BLVD,1.0
Los Angeles,10547 W SANTA MONICA BLVD,1.0
Los Angeles,11701 W SANTA MONICA BLVD,1.0
Los Angeles,11016 W SANTA MONICA BLVD,1.0
Los Angeles,201 N FIGUEROA ST,1.0
Los Angeles,1000 S GAYLEY AVE,1.0
Los Angeles,2701 SUNSET BLVD,1.0
Los Angeles,201 E 15TH ST,0.75
Los Angeles,6700 W SUNSET BLVD,0.5
Los Angeles,700 S SPRING ST,3.0
Los Angeles,600 S WALL ST,0.5
Los Angeles,14400 W HAYNES ST,1.0
Los Angeles,10801 W KINROSS AVE,1.75
Los Angeles,401 S WALL ST,4.0
Los Angeles,9901 W NORTH VENICE BLVD,1.0
Los Angeles,501 S MAPLE AVE,1.75
Los Angeles,3701 S WASATCH AVE,1.0
Los Angeles,501 MESA ST,0.5
Los Angeles,1000 E 8TH ST,0.5
Los Angeles,5001 CASPAR AVE,1.0
Los Angeles,5601 W PICO BLVD,1.0
Los Angeles,6501 W SELMA AVE,2.0
Los Angeles,601 WESTLAKE AVE,1.0
Los Angeles,650 LA FAYETTE PK PL,1.0
Los Angeles,8301 W MELROSE AVE,1.0
Los Angeles,14500 W DELANO ST,0.75
Los Angeles,3201 GLENDALE BLVD,1.0
Los Angeles,3400 W 43RD PL,1.0
Los Angeles,3001 GLENDALE BLVD,1.0
Los Angeles,2000 S WESTWOOD BLVD,1.0
Los Angeles,7601 W MELROSE AVE,1.0
Los Angeles,1201 E 12TH ST,0.75
Los Angeles,5400 S CRENSHAW BLVD,1.0
Los Angeles,2201 WILSHIRE BLVD,1.0
Los Angeles,1100 S WALL ST,1.25
Los Angeles,1600 S PONTIUS AVE,1.0
Los Angeles,700 S SAN PEDRO ST,1.0
Los Angeles,1601 S MAIN ST,0.5
Los Angeles,1000 S FAIRFAX AVE,1.0
Los Angeles,1301 WESTLAKE AVE,1.0
Los Angeles,801 W 4TH ST,2.5
Los Angeles,101 N FREMONT AVE,1.25
Los Angeles,9501 W PICO BLVD,1.0
Los Angeles,1101 S LOS ANGELES ST,2.25
Los Angeles,36 WASHINGTON BLVD,1.0
Los Angeles,11601 W CHAYOTE ST,2.0
Los Angeles,701 N HILL ST,0.5
Los Angeles,2201 WILSHIRE BLVD,1.0
Los Angeles,3612 W SUNSET BLVD,1.0
Los Angeles,400 S GLADYS AVE,0.5
Los Angeles,8301 W 3RD ST,1.0
Los Angeles,11400 W SANTA MONICA BLVD,1.0
Los Angeles,7200 W SUNSET BLVD,1.0
Los Angeles,1600 7TH ST,1.0
Los Angeles,600 S UNION DR,1.0
Los Angeles,1610 N VINE ST,2.25
Los Angeles,1101 N HUDSON AVE,1.75
Los Angeles,101 E 15TH ST,1.25
